observation_date,ASPNHSUS
5/1/2021,429300
6/1/2021,422200
7/1/2021,437000
8/1/2021,493100
9/1/2021,462900
10/1/2021,479500
11/1/2021,493700
12/1/2021,501900
1/1/2022,487800
2/1/2022,495700
3/1/2022,493200
4/1/2022,538000
5/1/2022,508900
6/1/2022,501900
7/1/2022,541200
8/1/2022,515600
9/1/2022,496400
10/1/2022,526000
11/1/2022,506100
12/1/2022,516100
1/1/2023,486900
2/1/2023,499100
3/1/2023,519600
4/1/2023,500900
5/1/2023,495800
6/1/2023,507800
7/1/2023,507600
8/1/2023,530400
9/1/2023,515000
10/1/2023,498800
11/1/2023,489000
12/1/2023,493000
1/1/2024,527800
2/1/2024,509700
3/1/2024,522500
4/1/2024,500600
5/1/2024,499300
6/1/2024,495500
7/1/2024,513200
8/1/2024,475600
9/1/2024,500800
10/1/2024,525400
11/1/2024,484800
